CLAIMS: 304 bullets in the card
  card -> packet:   PASS
  packet -> original: PASS
  traced end to end: 304 of 304 bullets

Section | Statement | Anchor | Where the quote sits in the original
  §1 | S001 | NM-EDD p. 1 line 1 | found in original on p. 1
  §1 | S002 | NM-EDD p. 1 line 2 | found in original on p. 1
  §1 | S003 | NM-EDD p. 1 line 3 | found in original on p. 1
  §1 | S004 | NM-EDD p. 1 line 4 | found in original on p. 1
  §1 | S005 | NM-EDD p. 1 line 5 | found in original on p. 1
  §1 | S011 | NM-EDD p. 4 line 3 | found in original on p. 4
  §1 | S018 | NM-EDD p. 4 line 18 | found in original on p. 4
  §1 | S034 | NM-EDD p. 5 line 4 | found in original on p. 5
  §1 | S046 | NM-EDD p. 5 line 26 | found in original on p. 5
  §1 | S115 | NM-EDD p. 8 line 12 | found in original on p. 8
  §2 | S011 | NM-EDD p. 4 line 3 | found in original on p. 4
  §2 | S013 | NM-EDD p. 4 line 8 | found in original on p. 4
  §2 | S014 | NM-EDD p. 4 line 11 | found in original on p. 4
  §2 | S016 | NM-EDD p. 4 line 16 | found in original on p. 4
  §2 | S130 | NM-EDD p. 21 line 1 | found in original on p. 21
  §2 | S131 | NM-EDD p. 21 line 4 | found in original on p. 21
  §3 | S148 | NM-EDD p. 21 line 29 | found in original on p. 21
  §4 | S008 | NM-EDD p. 1 line 8 | found in original on p. 1
  §4 | S029 | NM-EDD p. 4 line 36 | found in original on p. 4
  §4 | S040 | NM-EDD p. 5 line 12 | found in original on p. 5
  §4 | S046 | NM-EDD p. 5 line 26 | found in original on p. 5
  §4 | S047 | NM-EDD p. 5 line 28 | found in original on p. 5
  §4 | S048 | NM-EDD p. 5 line 30 | found in original on p. 5
  §4 | S049 | NM-EDD p. 5 line 31 | found in original on p. 5
  §4 | S072 | NM-EDD p. 6 line 40 | found in original on p. 6
  §4 | S073 | NM-EDD p. 6 line 42 | found in original on p. 6
  §4 | S085 | NM-EDD p. 7 line 19 | found in original on p. 7
  §4 | S090 | NM-EDD p. 7 line 25 | found in original on p. 7
  §4 | S091 | NM-EDD p. 7 line 25 | found in original on p. 7
  §4 | S104 | NM-EDD p. 7 line 40 | found in original on p. 7
  §4 | S105 | NM-EDD p. 7 line 41 | found in original on p. 7
  §4 | S117 | NM-EDD p. 8 line 15 | found in original on p. 8
  §4 | S118 | NM-EDD p. 8 line 17 | found in original on p. 8
  §4 | S120 | NM-EDD p. 8 line 20 | found in original on p. 8
  §4 | S121 | NM-EDD p. 8 line 21 | found in original on p. 8
  §4 | S123 | NM-EDD p. 8 line 26 | found in original on p. 8
  §4 | S124 | NM-EDD p. 8 line 27 | found in original on p. 8
  §4 | S128 | NM-EDD p. 8 line 36 | found in original on p. 8
  §4 | S129 | NM-EDD p. 8 line 36 | found in original on p. 8
  §4 | S134 | NM-EDD p. 21 line 11 | found in original on p. 21
  §4 | S137 | NM-EDD p. 21 line 16 | found in original on p. 21
  §4 | S142 | NM-EDD p. 21 line 21 | found in original on p. 21
  §4 | S143 | NM-EDD p. 21 line 23 | found in original on p. 21
  §4 | S144 | NM-EDD p. 21 line 24 | found in original on p. 21
  §4 | S196 | NM-EDD p. 23 line 13 | found in original on p. 23
